key,representation,configuration,N,error,score,qualifies,score_status,n_raw,discrepancy_ratio,order
WDBC__17,Binned,bins_16,34,0.0010359567250074397,94.02460456942003,True,qualifies,569,0.22868797440900715,4
WDBC__17,Density,density_16,34,0.001267479173572214,94.02460456942003,True,qualifies,569,0.2797966727883835,5
WDBC__17,Binned,bins_32,66,0.0007365122026449554,88.40070298769771,True,qualifies,569,0.1625854436624092,6
WDBC__17,Density,density_32,66,0.0009055563080967305,88.40070298769771,True,qualifies,569,0.19990201599439675,7
WDBC__17,Binned,bins_64,130,0.0007673133886255887,77.15289982425307,True,qualifies,569,0.1693848211472704,8
WDBC__17,Density,density_64,130,0.000769646349441086,77.15289982425307,True,qualifies,569,0.1698998234349073,9
WDBC__17,Density,density_128,258,0.0007107851500221252,54.65729349736379,True,qualifies,569,0.15690618369931883,10
WDBC__17,Density,density_256,514,0.0007117134430486768,9.666080843585235,True,qualifies,569,0.1571111048574865,11
WDBC__17,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,12
WDBC__17,Binned,bins_4,10,0.004760754219484402,0.0,False,does_not_qualify,569,1.0509389174583552,13
WDBC__17,Five-number,five_number,10,0.015174999999999998,0.0,False,does_not_qualify,569,3.349888974977947,14
WDBC__18,Means,means,2,0.010897661703463464,99.64850615114236,True,qualifies,569,0.7856928120217395,1
WDBC__18,Binned,bins_4,10,0.005243722909002518,98.24253075571178,True,qualifies,569,0.3780586615684364,2
WDBC__18,Five-number,five_number,10,0.011571469194312803,98.24253075571178,True,qualifies,569,0.8342725639586596,3
WDBC__18,Binned,bins_8,18,0.0033718366809599165,96.8365553602812,True,qualifies,569,0.2431005765851105,4
WDBC__18,Density,density_8,18,0.007565218888463033,96.8365553602812,True,qualifies,569,0.5454324297979825,5
WDBC__18,Binned,bins_16,34,0.0031074710651034787,94.02460456942003,True,qualifies,569,0.22404050940959067,6
WDBC__18,Density,density_16,34,0.003754102948598556,94.02460456942003,True,qualifies,569,0.270660971368388,7
WDBC__18,Binned,bins_32,66,0.003042283254717039,88.40070298769771,True,qualifies,569,0.21934063934152054,8
WDBC__18,Density,density_32,66,0.003178115190803424,88.40070298769771,True,qualifies,569,0.22913376549372536,9
WDBC__18,Density,density_64,130,0.003150583823397786,77.15289982425307,True,qualifies,569,0.22714882614945625,10
