key,primary,dataset,feature,family,setting,H,phase,loss,score,decode_failure,scale,constant_scale_fallback
WDBC__00,True,WDBC,mean radius,Violin plot,16,256,0.0,0.07794395273540289,92.76920172541332,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,256,0.25,0.07888169741456398,92.688568394144,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,256,0.5,0.07856761598317297,92.7155595236786,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,256,0.75,0.0785850942898212,92.7140570822032,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,512,0.0,0.07915583273662281,92.66502294336007,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,512,0.25,0.07909968704772254,92.66984431585472,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,512,0.5,0.07903791367578245,92.67514953144354,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,16,512,0.75,0.07891910229452581,92.6853549884612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,128,0.0,0.06279179904469873,94.0918062125489,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,128,0.25,0.061334356367407895,94.22101470668161,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,128,0.5,0.061275109307617794,94.22627471706238,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,128,0.75,0.061876593357570335,94.17290165875855,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,256,0.0,0.06085474381933109,94.26361203794599,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,256,0.25,0.06100556220149966,94.25021278164478,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,256,0.5,0.06115375586876839,94.23705042454458,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,256,0.75,0.0609544513545772,94.25475322934426,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,512,0.0,0.06191035652950436,94.16990745510408,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,512,0.25,0.06197343870371902,94.1643136781871,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,512,0.5,0.06216762905751815,94.14709812681068,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,32,512,0.75,0.06204834850037473,94.15767195646153,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,128,0.0,0.06352482047785378,94.02695458961537,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,128,0.25,0.06366250307118562,94.01478355330111,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,128,0.5,0.058561757301453334,94.46779964442109,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,128,0.75,0.05796313426381154,94.52125198066136,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,256,0.0,0.06239294804602318,94.12713081720113,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,256,0.25,0.061785848451793766,94.18095009065297,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,256,0.5,0.06166015699703008,94.19210030717932,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,256,0.75,0.06255848577645975,94.11246659700379,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,512,0.0,0.06460818020767646,93.93127148477544,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Violin plot,64,512,0.25,0.06461946259017361,93.93027604126668,,2.410516653707913,False
