family,setting,phase,loss,error,recovered_target
Violin plot,64,0.5,0.07896238741561365,,"[247.95802148609914, 328.62850334300856, 480.5242385594568, 649.215901564558, 786.9114013419755]"
Violin plot,64,0.75,0.07868841141804118,,"[248.57911204854776, 328.94004414645025, 480.4323256121238, 649.1760182228302, 786.932706212754]"
Violin plot,128,0.0,0.07694186346448936,,"[247.3186312645202, 327.4250598387646, 480.0440653388216, 648.8404764038278, 785.0707391883293]"
Violin plot,128,0.25,0.07673215822345872,,"[247.47314584310186, 327.47747615170385, 479.93875780355785, 648.6830658087791, 784.8602833131497]"
Violin plot,128,0.5,0.07715595442917479,,"[247.01977635868906, 327.2470709747467, 479.82756979275854, 648.5192939472272, 785.111084326644]"
Violin plot,128,0.75,0.07722533584425327,,"[246.95251560781912, 327.3004945273346, 479.94870540186304, 648.7706258659873, 785.2067671146127]"
Violin plot,256,0.0,0.07691948815158414,,"[247.81322795254573, 327.40436835721425, 480.220552138621, 649.524451705099, 786.0657260225275]"
Violin plot,256,0.25,0.07612226331446569,,"[248.2601444631266, 327.52157753790453, 480.1801960425506, 649.3318254254292, 785.2530206733969]"
Violin plot,256,0.5,0.07591545997222338,,"[247.91539851000437, 327.24864850109776, 479.9498760028409, 649.0863359519149, 784.9091873613966]"
Violin plot,256,0.75,0.07650304195054906,,"[247.69203080070332, 327.31725419415045, 480.16347304907003, 649.3786981782033, 785.425748031385]"
