key,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected
WDBC__11,Forest,Mean contrast with interval,3,0.21747833082141077,0.4934033359021725,True,3.2467016679510863,0.30800489304922046,False
WDBC__11,Box,Min-max box with mean markers,12,0.9089943820224722,2.0622783829186284,False,,0.0,False
WDBC__11,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__11,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__11,Histogram,10 common bins,22,0.08779945030491437,0.19919474968931872,True,22.09959737484466,0.04524969315225043,False
WDBC__11,Heatmap,10 common bins,22,0.08779945030491437,0.19919474968931872,True,22.09959737484466,0.04524969315225043,False
WDBC__11,Histogram,20 common bins,42,0.09344402731879287,0.21200086751211647,True,42.10600043375606,0.02374958413761635,False
WDBC__11,Heatmap,20 common bins,42,0.09344402731879287,0.21200086751211647,True,42.10600043375606,0.02374958413761635,False
WDBC__11,Histogram,40 common bins,82,0.08552636127917057,0.1940376855171387,True,82.09701884275857,0.012180710263247345,False
WDBC__11,Heatmap,40 common bins,82,0.08552636127917057,0.1940376855171387,True,82.09701884275857,0.012180710263247345,False
WDBC__11,Violin,64-point density per group,130,0.09600127162430483,0.21780260815584324,True,130.10890130407793,0.007685869221682971,False
WDBC__11,Violin,128-point density per group,258,0.09454651703697414,0.21450213788095696,True,258.10725106894046,0.003874358414413162,False
WDBC__11,Violin,256-point density per group,514,0.09465934364564088,0.2147581129240081,True,514.107379056462,0.0019451189396178159,False
WDBC__12,Bar,Mean bars,2,2.9346420432323863,2.1323123305055987,False,,0.0,False
WDBC__12,Dot,Mean dots,2,2.9346420432323863,2.1323123305055987,False,,0.0,False
WDBC__12,Interval,Means with intervals,6,2.9346420432323863,2.1323123305055987,False,,0.0,False
WDBC__12,Forest,Mean contrast with interval,3,2.9346420432323863,2.1323123305055987,False,,0.0,False
WDBC__12,Box,Min-max box with mean markers,12,8.795,6.3904512613539515,False,,0.0,False
WDBC__12,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__12,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__12,Histogram,10 common bins,22,0.4936821997662262,0.3587097255490703,True,22.179354862774534,0.04508697417878387,True
WDBC__12,Heatmap,10 common bins,22,0.4936821997662262,0.3587097255490703,True,22.179354862774534,0.04508697417878387,True
WDBC__12,Histogram,20 common bins,42,0.3530072891868876,0.25649526736230643,True,42.128247633681156,0.02373704239244238,False
WDBC__12,Heatmap,20 common bins,42,0.3530072891868876,0.25649526736230643,True,42.128247633681156,0.02373704239244238,False
WDBC__12,Histogram,40 common bins,82,0.30085610113622696,0.21860218885639948,True,82.1093010944282,0.012178888221810211,False
WDBC__12,Heatmap,40 common bins,82,0.30085610113622696,0.21860218885639948,True,82.1093010944282,0.012178888221810211,False
WDBC__12,Violin,64-point density per group,130,0.3720896714028814,0.27036053552624456,True,130.13518026776313,0.007684317168827239,False
WDBC__12,Violin,128-point density per group,258,0.4039969223547851,0.293544359527601,True,258.1467721797638,0.003873765267549568,False
WDBC__12,Violin,256-point density per group,514,0.41848166396099973,0.30406897979682446,True,514.1520344898984,0.0019449500010091803,False
WDBC__13,Bar,Mean bars,2,67.57776649568889,2.0554060423169793,False,,0.0,False
WDBC__13,Dot,Mean dots,2,67.57776649568889,2.0554060423169793,False,,0.0,False
WDBC__13,Interval,Means with intervals,6,67.57776649568889,2.0554060423169793,False,,0.0,False
WDBC__13,Forest,Mean contrast with interval,3,67.57776649568889,2.0554060423169793,False,,0.0,False
WDBC__13,Box,Min-max box with mean markers,12,266.87,8.116962707669916,False,,0.0,False
WDBC__13,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__13,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__13,Histogram,10 common bins,22,23.075826100237705,0.7018609057005493,True,22.350930452850275,0.04474086669946558,True
WDBC__13,Heatmap,10 common bins,22,23.075826100237705,0.7018609057005493,True,22.350930452850275,0.04474086669946558,True
WDBC__13,Histogram,20 common bins,42,13.746663473256604,0.4181105211050776,True,42.20905526055254,0.023691598729871914,False
WDBC__13,Heatmap,20 common bins,42,13.746663473256604,0.4181105211050776,True,42.20905526055254,0.023691598729871914,False
WDBC__13,Histogram,40 common bins,82,9.218007712193014,0.280369561355283,True,82.14018478067764,0.01217430911155238,False
WDBC__13,Heatmap,40 common bins,82,9.218007712193014,0.280369561355283,True,82.14018478067764,0.01217430911155238,False
WDBC__13,Violin,64-point density per group,130,9.790916548088871,0.297794823302528,True,130.14889741165126,0.007683507274265064,False
WDBC__13,Violin,128-point density per group,258,12.67424173628951,0.3854923652769347,True,258.1927461826385,0.0038730755018680013,False
WDBC__13,Violin,256-point density per group,514,13.699764477057935,0.41668406851328477,True,514.2083420342566,0.001944737022437065,False
WDBC__14,Bar,Mean bars,2,0.002047192378838327,1.0042740691681533,False,,0.0,False
WDBC__14,Dot,Mean dots,2,0.002047192378838327,1.0042740691681533,False,,0.0,False
WDBC__14,Interval,Means with intervals,6,0.002047192378838327,1.0042740691681533,False,,0.0,False
WDBC__14,Forest,Mean contrast with interval,3,0.002047192378838327,1.0042740691681533,False,,0.0,False
WDBC__14,Box,Min-max box with mean markers,12,0.009838399999999995,4.826341727449467,False,,0.0,False
WDBC__14,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__14,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__14,Histogram,10 common bins,22,0.0006426764864232212,0.3152724369485897,True,22.157636218474295,0.04513116788000308,True
WDBC__14,Heatmap,10 common bins,22,0.0006426764864232212,0.3152724369485897,True,22.157636218474295,0.04513116788000308,True
WDBC__14,Histogram,20 common bins,42,0.0005204487921683931,0.25531221770236956,True,42.127656108851184,0.02373737569012049,False
WDBC__14,Heatmap,20 common bins,42,0.0005204487921683931,0.25531221770236956,True,42.127656108851184,0.02373737569012049,False
WDBC__14,Histogram,40 common bins,82,0.0003552270334300535,0.1742607592862208,True,82.08713037964311,0.012182177588315248,False
WDBC__14,Heatmap,40 common bins,82,0.0003552270334300535,0.1742607592862208,True,82.08713037964311,0.012182177588315248,False
