key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score
Parkinsons__08,Parkinsons,MDVP:Shimmer,source units,"['Healthy', 'Parkinson disease']",Quartile summary sufficient,1.227212533551808,0.3389125547148548,0.6767676767676768,8,24,False,0.014655452568924643,0.020749869565217384,0.020749869565217384,0.0014655452568924643,0.1,0.014175,0.012122499999999998,0.0184775,Box,0.08217293995793441
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),source units,"['Healthy', 'Parkinson disease']",Quartile summary sufficient,1.0066837823491825,0.6609837325658136,0.5050505050505051,8,24,False,0.15409457323345296,0.23078249999999967,0.23078249999999967,0.015409457323345296,0.1,0.13724999999999993,0.10675000000000001,0.15425000000000003,Box,0.08109976559284292
Parkinsons__10,Parkinsons,Shimmer:APQ3,source units,"['Healthy', 'Parkinson disease']",Quartile summary sufficient,1.2132189467380396,0.17648825299606188,0.5353535353535354,8,24,False,0.007755797600737859,0.010833335869565213,0.010833335869565213,0.0007755797600737859,0.1,0.007143541666666663,0.0064125,0.00943625,Box,0.08272500038346764
Parkinsons__11,Parkinsons,Shimmer:APQ5,source units,"['Healthy', 'Parkinson disease']",Quartile summary sufficient,1.0823054503910616,0.2266471300680105,0.7070707070707071,8,24,False,0.009586794795156743,0.015400304347826086,0.015400304347826086,0.0009586794795156744,0.1,0.008661666666666665,0.0070300000000000015,0.01146625,Box,0.08255372645097776
Parkinsons__12,Parkinsons,MDVP:APQ,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.9084521070339121,0.5053235039409293,0.696969696969697,8,24,False,0.01276053412871107,0.025755347826086954,0.025755347826086954,0.0012760534128711072,0.1,0.012696249999999997,0.008492499999999998,0.011752499999999997,Bar; Dot,0.4074604287437091
Parkinsons__13,Parkinsons,Shimmer:DDA,source units,"['Healthy', 'Parkinson disease']",Quartile summary sufficient,1.3033651252463858,0.19022684348058566,0.6868686868686869,8,24,False,0.023267104737847044,0.03024878260869565,0.03024878260869565,0.0023267104737847047,0.1,0.02142854166666666,0.0192175,0.028302499999999994,Box,0.0826780175705137
Parkinsons__14,Parkinsons,NHR,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.3102737736944926,0.4767686646143114,0.898989898989899,8,24,False,0.02754780414154336,0.09469500000000002,0.09469500000000002,0.002754780414154336,0.1,0.014433125,0.01064,0.011791250000000003,Bar; Dot,0.4640076489354241
Parkinsons__15,Parkinsons,HNR,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.42006609599510214,0.31115884169045543,0.98989898989899,8,24,False,3.9926634373073706,6.985667391304342,6.985667391304342,0.3992663437307371,0.1,-3.6476666666666695,-3.4727500000000013,3.6543750000000017,Bar; Dot,0.45248192143826627
Parkinsons__16,Parkinsons,RPDE,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.4992782517910044,0.15027919945497117,0.9292929292929293,8,24,False,0.09462365337552732,0.1411172617857142,0.1411172617857142,0.009462365337552733,0.1,0.08051629166666663,0.10017275000000003,0.0802655000000001,Bar; Dot,0.4445157396531033
Parkinsons__17,Parkinsons,DFA,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.2802012100360456,0.2158321456051806,1.0,8,24,False,0.05307493136567236,0.09805133695652168,0.09805133695652168,0.005307493136567237,0.1,0.03227237500000013,0.051682499999999965,-0.015103625000000065,Bar; Dot,0.46726775257912634
Parkinsons__18,Parkinsons,spread1,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.5076916182514429,0.4647239907845261,0.8282828282828283,8,24,False,0.8001897667019939,1.1758069913043476,1.1758069913043476,0.0800189766701994,0.1,1.4673916458333345,1.4071542499999996,0.4733773750000001,Bar; Dot,0.44368607468667304
Parkinsons__19,Parkinsons,spread2,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.3041991883961377,0.19202865700173916,1.0,8,24,False,0.059088316009726305,0.12472708695652174,0.12472708695652174,0.005908831600972631,0.1,0.08400370833333334,0.07132824999999998,0.066509875,Bar; Dot,0.46466251036705736
Parkinsons__20,Parkinsons,D2,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.5089640131582731,0.28398911806040883,0.9393939393939394,8,24,False,0.3031999556704237,0.49535027228260897,0.49535027228260897,0.03031999556704237,0.1,0.2859193124999999,0.24423424999999988,0.024422625000000142,Bar; Dot,0.44356086989461546
Parkinsons__21,Parkinsons,PPE,source units,"['Healthy', 'Parkinson disease']",Mean summary sufficient,0.6051108566340644,0.21171625829922097,0.8787878787878788,8,24,False,0.06849673427317743,0.12407561521739131,0.12407561521739131,0.006849673427317743,0.1,0.11294804166666667,0.112685,0.020566124999999963,Bar; Dot,0.4343000770804085
Retinopathy__00,Retinopathy,feature_2,source units,"['Class 0', 'Class 1']",Distribution detail required,1.3067243291522217,2.0407750393395463,0.9595959595959596,540,611,False,24.510247671043043,9.576557377049202,9.576557377049202,2.4510247671043044,0.1,15.01558768260896,19.0,9.0,Heatmap; Histogram,0.04504211721218201
