key,dataset,feature,primary,n_A,n_B,contract,configuration,representation,N
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,payload,means,Means,2
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,legacy_box,means,Means,2
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,free_parameters,means,Means,2
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,equal,raw,Observations,579
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,payload,means,Means,2
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,legacy_box,means,Means,2
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,free_parameters,means,Means,2
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,equal,raw,Observations,32
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,payload,means,Means,2
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,legacy_box,means,Means,2
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,free_parameters,means,Means,2
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,equal,raw,Observations,32
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,payload,means,Means,2
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,legacy_box,means,Means,2
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,free_parameters,means,Means,2
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,equal,raw,Observations,32
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,payload,means,Means,2
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,legacy_box,means,Means,2
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,free_parameters,means,Means,2
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,equal,raw,Observations,32
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,payload,means,Means,2
