key,dataset,feature,primary,n_A,n_B,detail,representation,configuration,N,error,error_ratio,scale,tolerance,agreement,provisional
WDBC__12,WDBC,perimeter error,True,357,212,Distribution,Binned,bins_8,18,0.6642950412238156,0.4791752621841954,1.681820494847905,1.3863299999999998,0.8518518518518519,False
WDBC__13,WDBC,area error,True,357,212,Distribution,Binned,bins_16,34,12.568069847644466,0.4573134338554631,38.07874145019458,27.48239810426537,0.96996996996997,False
WDBC__14,WDBC,smoothness error,True,357,212,Distribution,Binned,bins_4,10,0.0017652609577114425,0.90077037484258,0.002998408590742808,0.001959723595505616,0.7447447447447447,True
WDBC__15,WDBC,compactness error,True,357,212,Mean,Means,means,2,0.006328300618212098,0.365189797583421,0.0171373295210721,0.017328799052132644,0.986986986986987,False
WDBC__16,WDBC,concavity error,True,357,212,Mean,Means,means,2,0.006560816027907895,0.2651988920220822,0.02922396252340141,0.024739228651685315,0.97997997997998,False
WDBC__17,WDBC,concave points error,True,357,212,Mean,Means,means,2,0.001702855120254589,0.3759061346507805,0.005638207512474299,0.00453000087864103,0.98998998998999,False
WDBC__18,WDBC,symmetry error,True,357,212,Mean,Means,means,2,0.010897661703463464,0.7856928120217395,0.008273481931927172,0.013870130331753544,0.8408408408408409,False
WDBC__19,WDBC,fractal dimension error,True,357,212,Mean,Means,means,2,0.000930399343693386,0.3580269340109141,0.0026403403151483004,0.0025986853370786444,0.968968968968969,False
WDBC__20,WDBC,worst radius,True,357,212,Distribution,Binned,bins_8,18,0.9364824593717369,0.36226565024738616,3.0484688680942194,2.5850710900473897,0.6566566566566566,True
WDBC__21,WDBC,worst texture,True,357,212,Mean,Means,means,2,1.7207217888215247,0.45320581046664804,5.472017326293327,3.7967778635710028,0.928928928928929,False
WDBC__22,WDBC,worst perimeter,True,357,212,Distribution,Density,density_8,18,6.642277968273248,0.37774698771920134,20.923568725165023,17.583933649289065,0.7137137137137137,True
WDBC__23,WDBC,worst area,True,357,212,Distribution,Binned,bins_4,10,355.47055432978516,0.8735120510239847,387.12706496342065,406.944075829384,0.8818818818818819,False
WDBC__24,WDBC,worst smoothness,True,357,212,Mean,Means,means,2,0.0063642599492626795,0.5464863201983082,0.020723719108344713,0.011645780898876343,0.8878878878878879,False
WDBC__25,WDBC,worst compactness,True,357,212,Quartiles,Binned,bins_4,10,0.07641496862567165,0.7104076192121825,0.12703094580209914,0.10756496208530704,0.5515515515515516,True
WDBC__26,WDBC,worst concavity,True,357,212,Mean,Means,means,2,0.09011754990976684,0.6892852829981586,0.15694186232880603,0.13074056872037929,0.7047047047047047,True
WDBC__27,WDBC,worst concave points,True,357,212,Mean,Means,means,2,0.01899242647548738,0.7356529028399295,0.04003234386818212,0.025817102606635042,0.7317317317317318,True
WDBC__28,WDBC,worst symmetry,True,357,212,Distribution,Binned,bins_8,18,0.017642447891074553,0.33827773922616106,0.05630133539908576,0.05215373595505617,0.6316316316316316,True
WDBC__29,WDBC,worst fractal dimension,True,357,212,Mean,Means,means,2,0.012271895279841863,0.9138173170100091,0.01710284221795712,0.013429265402843584,0.36736736736736736,True
Cleveland__00,Cleveland,age,True,164,139,Mean,Means,means,2,5.040533426917001,0.8400889044861669,8.825429815634669,6.0,0.6966966966966966,True
Cleveland__01,Cleveland,trestbps,True,164,139,Mean,Means,means,2,9.130930038577844,0.5808479668306529,17.427290882589684,15.719999999999969,0.8918918918918919,False
Cleveland__02,Cleveland,chol,True,164,139,Mean,Means,means,2,15.269358850141543,0.44001659938106663,51.67443561904991,34.701779141104296,0.975975975975976,False
Cleveland__03,Cleveland,thalach,True,164,139,Mean,Means,means,2,8.868674086617276,0.5542921304135797,20.8239924584355,16.0,0.984984984984985,False
Cleveland__04,Cleveland,oldpeak,True,164,139,Quartiles,Five-number,five_number,10,0.3985507246376812,0.4981884057971015,1.0530090571316797,0.8,0.7127127127127127,True
HeartFailure__00,HeartFailure,age,True,203,96,Mean,Means,means,2,6.546625153940894,0.6546625153940895,11.52491033330266,10.0,0.8698698698698699,False
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,Mean,Means,means,2,382.37145224682524,0.10287486002884842,970.005938479382,3716.859999999997,0.960960960960961,False
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,Mean,Means,means,2,6.797259852216747,0.4531506568144498,11.419096433615184,15.0,1.0,False
HeartFailure__03,HeartFailure,platelets,True,203,96,Mean,Means,means,2,30855.392478232214,0.3342279051830988,97850.40155228524,92318.4210526312,0.982982982982983,False
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,Mean,Means,means,2,1.2262712367295852,0.4118932485567676,0.9903650404345195,2.977157894736842,0.8408408408408409,False
