key,dataset,feature,primary,n_A,n_B,setting,configuration,detail,tolerance
WDBC__19,WDBC,fractal dimension error,True,357,212,percentile_0.9,means,Mean,0.002070325955056182
WDBC__19,WDBC,fractal dimension error,True,357,212,percentile_0.95,means,Mean,0.0025986853370786444
WDBC__19,WDBC,fractal dimension error,True,357,212,percentile_0.99,means,Mean,0.003515923279620846
WDBC__19,WDBC,fractal dimension error,True,357,212,band_0.01_0.99,means,Mean,0.01051800947867299
WDBC__19,WDBC,fractal dimension error,True,357,212,band_0.1_0.9,means,Mean,0.001297600000000017
WDBC__19,WDBC,fractal dimension error,True,357,212,fixed_0.05,raw,Distribution,0.00013201701575741502
WDBC__19,WDBC,fractal dimension error,True,357,212,fixed_0.1,raw,Distribution,0.00026403403151483004
WDBC__19,WDBC,fractal dimension error,True,357,212,fixed_0.2,bins_32,Distribution,0.0005280680630296601
WDBC__20,WDBC,worst radius,True,357,212,percentile_0.8,bins_8,Distribution,1.9493744075829398
WDBC__20,WDBC,worst radius,True,357,212,percentile_0.9,bins_8,Distribution,2.321434123222749
WDBC__20,WDBC,worst radius,True,357,212,percentile_0.95,bins_8,Distribution,2.5850710900473897
WDBC__20,WDBC,worst radius,True,357,212,percentile_0.99,bins_8,Distribution,3.0284083146067426
WDBC__20,WDBC,worst radius,True,357,212,band_0.01_0.99,five_number,Quartiles,3.2704241972416006
WDBC__20,WDBC,worst radius,True,357,212,band_0.1_0.9,bins_8,Distribution,1.9252203791469247
WDBC__20,WDBC,worst radius,True,357,212,fixed_0.05,raw,Distribution,0.15242344340471098
WDBC__20,WDBC,worst radius,True,357,212,fixed_0.1,raw,Distribution,0.30484688680942196
WDBC__20,WDBC,worst radius,True,357,212,fixed_0.2,bins_16,Distribution,0.6096937736188439
WDBC__21,WDBC,worst texture,True,357,212,percentile_0.8,means,Mean,2.813559081953245
WDBC__21,WDBC,worst texture,True,357,212,percentile_0.9,means,Mean,3.2239213483145996
WDBC__21,WDBC,worst texture,True,357,212,percentile_0.95,means,Mean,3.7967778635710028
WDBC__21,WDBC,worst texture,True,357,212,percentile_0.99,means,Mean,4.682097630331734
WDBC__21,WDBC,worst texture,True,357,212,band_0.01_0.99,means,Mean,6.554725118483377
WDBC__21,WDBC,worst texture,True,357,212,band_0.1_0.9,means,Mean,2.6868769370041
WDBC__21,WDBC,worst texture,True,357,212,fixed_0.05,raw,Distribution,0.27360086631466635
WDBC__21,WDBC,worst texture,True,357,212,fixed_0.1,bins_32,Distribution,0.5472017326293327
WDBC__21,WDBC,worst texture,True,357,212,fixed_0.2,bins_8,Distribution,1.0944034652586654
WDBC__22,WDBC,worst perimeter,True,357,212,percentile_0.8,density_8,Distribution,13.443905213270133
WDBC__22,WDBC,worst perimeter,True,357,212,percentile_0.9,density_8,Distribution,15.537251184834128
WDBC__22,WDBC,worst perimeter,True,357,212,percentile_0.95,density_8,Distribution,17.583933649289065
WDBC__22,WDBC,worst perimeter,True,357,212,percentile_0.99,bins_4,Distribution,22.200009478672975
WDBC__22,WDBC,worst perimeter,True,357,212,band_0.01_0.99,bins_4,Distribution,28.25759999999959
WDBC__22,WDBC,worst perimeter,True,357,212,band_0.1_0.9,bins_8,Distribution,11.43999999999999
WDBC__22,WDBC,worst perimeter,True,357,212,fixed_0.05,raw,Distribution,1.0461784362582511
WDBC__22,WDBC,worst perimeter,True,357,212,fixed_0.1,raw,Distribution,2.0923568725165023
WDBC__22,WDBC,worst perimeter,True,357,212,fixed_0.2,bins_16,Distribution,4.1847137450330045
WDBC__23,WDBC,worst area,True,357,212,percentile_0.8,bins_8,Distribution,304.13592417061614
WDBC__23,WDBC,worst area,True,357,212,percentile_0.9,bins_8,Distribution,350.3748815165877
WDBC__23,WDBC,worst area,True,357,212,percentile_0.95,bins_4,Distribution,406.944075829384
WDBC__23,WDBC,worst area,True,357,212,percentile_0.99,bins_4,Distribution,514.2768151658767
WDBC__23,WDBC,worst area,True,357,212,band_0.01_0.99,bins_4,Distribution,923.0479999999893
WDBC__23,WDBC,worst area,True,357,212,band_0.1_0.9,bins_4,Distribution,308.86600000000067
WDBC__23,WDBC,worst area,True,357,212,fixed_0.05,raw,Distribution,19.356353248171033
WDBC__23,WDBC,worst area,True,357,212,fixed_0.1,raw,Distribution,38.712706496342065
WDBC__23,WDBC,worst area,True,357,212,fixed_0.2,bins_16,Distribution,77.42541299268413
WDBC__24,WDBC,worst smoothness,True,357,212,percentile_0.8,means,Mean,0.00942019809361519
WDBC__24,WDBC,worst smoothness,True,357,212,percentile_0.9,means,Mean,0.010537725118483358
WDBC__24,WDBC,worst smoothness,True,357,212,percentile_0.95,means,Mean,0.011645780898876343
WDBC__24,WDBC,worst smoothness,True,357,212,percentile_0.99,means,Mean,0.013770599999999949
WDBC__24,WDBC,worst smoothness,True,357,212,band_0.01_0.99,means,Mean,0.03254606741573035
WDBC__24,WDBC,worst smoothness,True,357,212,band_0.1_0.9,means,Mean,0.010490535305394334
WDBC__24,WDBC,worst smoothness,True,357,212,fixed_0.05,raw,Distribution,0.0010361859554172358
WDBC__24,WDBC,worst smoothness,True,357,212,fixed_0.1,raw,Distribution,0.0020723719108344716
WDBC__24,WDBC,worst smoothness,True,357,212,fixed_0.2,bins_8,Distribution,0.004144743821668943
WDBC__25,WDBC,worst compactness,True,357,212,percentile_0.8,bins_4,Distribution,0.08271644943820225
WDBC__25,WDBC,worst compactness,True,357,212,percentile_0.9,bins_4,Distribution,0.09554932701421784
WDBC__25,WDBC,worst compactness,True,357,212,percentile_0.95,bins_4,Quartiles,0.10756496208530704
WDBC__25,WDBC,worst compactness,True,357,212,percentile_0.99,bins_4,Quartiles,0.12761346919431274
WDBC__25,WDBC,worst compactness,True,357,212,band_0.01_0.99,five_number,Quartiles,0.1863589099526063
WDBC__25,WDBC,worst compactness,True,357,212,band_0.1_0.9,bins_4,Distribution,0.079310546354971
WDBC__25,WDBC,worst compactness,True,357,212,fixed_0.05,raw,Distribution,0.006351547290104957
WDBC__25,WDBC,worst compactness,True,357,212,fixed_0.1,raw,Distribution,0.012703094580209915
WDBC__25,WDBC,worst compactness,True,357,212,fixed_0.2,bins_16,Distribution,0.02540618916041983
WDBC__26,WDBC,worst concavity,True,357,212,percentile_0.8,means,Mean,0.09564085393258426
WDBC__26,WDBC,worst concavity,True,357,212,percentile_0.9,means,Mean,0.11750142180094805
WDBC__26,WDBC,worst concavity,True,357,212,percentile_0.95,means,Mean,0.13074056872037929
WDBC__26,WDBC,worst concavity,True,357,212,percentile_0.99,means,Mean,0.16462729999999923
WDBC__26,WDBC,worst concavity,True,357,212,band_0.01_0.99,means,Mean,0.3241841848341231
WDBC__26,WDBC,worst concavity,True,357,212,band_0.1_0.9,bins_8,Distribution,0.07487289099526077
WDBC__26,WDBC,worst concavity,True,357,212,fixed_0.05,raw,Distribution,0.007847093116440301
WDBC__26,WDBC,worst concavity,True,357,212,fixed_0.1,raw,Distribution,0.015694186232880603
WDBC__26,WDBC,worst concavity,True,357,212,fixed_0.2,density_16,Distribution,0.031388372465761205
WDBC__27,WDBC,worst concave points,True,357,212,percentile_0.8,means,Mean,0.019800000000000012
WDBC__27,WDBC,worst concave points,True,357,212,percentile_0.9,means,Mean,0.023000999999999994
WDBC__27,WDBC,worst concave points,True,357,212,percentile_0.95,means,Mean,0.025817102606635042
WDBC__27,WDBC,worst concave points,True,357,212,percentile_0.99,means,Mean,0.030700983146067392
WDBC__27,WDBC,worst concave points,True,357,212,band_0.01_0.99,means,Mean,0.039748900000000004
WDBC__27,WDBC,worst concave points,True,357,212,band_0.1_0.9,means,Mean,0.023172668246445517
WDBC__27,WDBC,worst concave points,True,357,212,fixed_0.05,raw,Distribution,0.0020016171934091062
WDBC__27,WDBC,worst concave points,True,357,212,fixed_0.1,bins_64,Distribution,0.0040032343868182125
WDBC__27,WDBC,worst concave points,True,357,212,fixed_0.2,bins_8,Distribution,0.008006468773636425
WDBC__28,WDBC,worst symmetry,True,357,212,percentile_0.8,bins_8,Distribution,0.03977289099526066
WDBC__28,WDBC,worst symmetry,True,357,212,percentile_0.9,bins_8,Distribution,0.0461514960860536
WDBC__28,WDBC,worst symmetry,True,357,212,percentile_0.95,bins_8,Distribution,0.05215373595505617
WDBC__28,WDBC,worst symmetry,True,357,212,percentile_0.99,bins_4,Distribution,0.06269429383886259
WDBC__28,WDBC,worst symmetry,True,357,212,band_0.01_0.99,bins_4,Quartiles,0.100017999999999
WDBC__28,WDBC,worst symmetry,True,357,212,band_0.1_0.9,bins_8,Distribution,0.03760175355450236
WDBC__28,WDBC,worst symmetry,True,357,212,fixed_0.05,raw,Distribution,0.002815066769954288
WDBC__28,WDBC,worst symmetry,True,357,212,fixed_0.1,raw,Distribution,0.005630133539908576
WDBC__28,WDBC,worst symmetry,True,357,212,fixed_0.2,raw,Distribution,0.011260267079817152
WDBC__29,WDBC,worst fractal dimension,True,357,212,percentile_0.8,bins_8,Distribution,0.009937312955961454
WDBC__29,WDBC,worst fractal dimension,True,357,212,percentile_0.9,bins_4,Distribution,0.011913370786516875
WDBC__29,WDBC,worst fractal dimension,True,357,212,percentile_0.95,means,Mean,0.013429265402843584
WDBC__29,WDBC,worst fractal dimension,True,357,212,percentile_0.99,means,Mean,0.016799485308056875
WDBC__29,WDBC,worst fractal dimension,True,357,212,band_0.01_0.99,means,Mean,0.05720599999999973
WDBC__29,WDBC,worst fractal dimension,True,357,212,band_0.1_0.9,bins_4,Distribution,0.011291473933649297
WDBC__29,WDBC,worst fractal dimension,True,357,212,fixed_0.05,raw,Distribution,0.0008551421108978561
WDBC__29,WDBC,worst fractal dimension,True,357,212,fixed_0.1,bins_32,Distribution,0.0017102842217957123
WDBC__29,WDBC,worst fractal dimension,True,357,212,fixed_0.2,density_16,Distribution,0.0034205684435914246
Cleveland__00,Cleveland,age,True,164,139,percentile_0.8,bins_4,Quartiles,5.0
Cleveland__00,Cleveland,age,True,164,139,percentile_0.9,bins_4,Quartiles,5.0
Cleveland__00,Cleveland,age,True,164,139,percentile_0.95,means,Mean,6.0
Cleveland__00,Cleveland,age,True,164,139,percentile_0.99,means,Mean,7.0
Cleveland__00,Cleveland,age,True,164,139,band_0.01_0.99,means,Mean,8.110000000000014
Cleveland__00,Cleveland,age,True,164,139,band_0.1_0.9,means,Mean,6.0
Cleveland__00,Cleveland,age,True,164,139,fixed_0.05,raw,Distribution,0.44127149078173344
Cleveland__00,Cleveland,age,True,164,139,fixed_0.1,raw,Distribution,0.8825429815634669
Cleveland__00,Cleveland,age,True,164,139,fixed_0.2,bins_16,Distribution,1.7650859631269338
Cleveland__01,Cleveland,trestbps,True,164,139,percentile_0.8,means,Mean,14.0
