key,task,dataset,kind,observer,selected,runner_up,reference_score,runner_reference_score,reference_margin,selected_test_score,runner_test_score,default,default_test_score,default_test_loss,selected_test_loss,transfer_gain,reference_ties,selected_still_best
profile_bidmc_20,profile,BIDMC,empirical,hard,Dot plot,Line chart,74.31896765945098,71.91380845967994,2.4051591997710347,80.79017834081155,75.84125863630976,Line chart,75.84125863630976,0.318543518370936,0.23777422025425232,0.08076929811668365,1,True
profile_bidmc_20,profile,BIDMC,empirical,soft,Dot plot,Line chart,75.19680413881326,74.1810700525039,1.0157340863093651,81.48853067198368,78.67213979084292,Line chart,78.67213979084292,0.27109800579797544,0.22716656166658172,0.043931444131393715,1,True
profile_bidmc_21,profile,BIDMC,empirical,hard,Dot plot,Line chart,94.42808214269886,92.95875840638698,1.4693237363118783,96.21867471024837,94.7447503765738,Line chart,94.7447503765738,0.05546744914666625,0.0392992867667183,0.016168162379947948,1,True
profile_bidmc_21,profile,BIDMC,empirical,soft,Dot plot,Line chart,94.54722396300508,93.66520066500891,0.8820232979961702,96.20363296552726,95.01946599594076,Line chart,95.01946599594076,0.0524159334285462,0.039461784523595826,0.012954148904950377,1,True
profile_bidmc_22,profile,BIDMC,empirical,hard,Dot plot,Line chart,95.3537986778232,92.23228698368781,3.1215116941353926,96.54885790510698,95.18415473198098,Line chart,95.18415473198098,0.05059503109083077,0.03574503282353643,0.014849998267294343,1,True
profile_bidmc_22,profile,BIDMC,empirical,soft,Dot plot,Line chart,95.16339882065806,93.40998161547402,1.7534172051840358,96.73778240356206,95.49940857434339,Line chart,95.49940857434339,0.04712690364101088,0.03372226978316398,0.013404633857846904,1,True
profile_bidmc_23,profile,BIDMC,empirical,hard,Dot plot,Line chart,96.14207729015749,93.90919751858357,2.23287977157392,97.16596717044779,95.81530028325857,Line chart,95.81530028325857,0.0436746501275916,0.0291669286282179,0.0145077214993737,1,True
profile_bidmc_23,profile,BIDMC,empirical,soft,Dot plot,Line chart,95.9387620224478,93.93684336770876,2.0019186547390433,97.1687559443576,96.14164426486559,Line chart,96.14164426486559,0.0401319923810001,0.0291373912131146,0.010994601167885497,1,True
profile_bidmc_24,profile,BIDMC,empirical,hard,Dot plot,Line chart,93.34004783609757,92.4881178481219,0.8519299879756659,95.13078723872182,94.17207872188584,Line chart,94.17207872188584,0.06188587272587974,0.0511844052026958,0.01070146752318394,1,True
profile_bidmc_24,profile,BIDMC,empirical,soft,Dot plot,Line chart,93.2456328213717,92.29886368967655,0.9467691316951488,95.27265172306937,94.10848007564525,Line chart,94.10848007564525,0.06260349672653408,0.0496191529408847,0.012984343785649374,1,True
profile_bidmc_25,profile,BIDMC,empirical,hard,Dot plot,Line chart,92.57677469463066,92.44466107969318,0.13211361493748086,95.27055255755506,93.9738837192701,Line chart,93.9738837192701,0.0641254361555582,0.04964227996460685,0.014483156190951349,1,True
profile_bidmc_25,profile,BIDMC,empirical,soft,Dot plot,Line chart,92.59349663194278,91.91428524458462,0.6792113873581656,94.9795944759503,94.16936701405129,Line chart,94.16936701405129,0.061916450867496024,0.052857727512417546,0.009058723355078478,1,True
profile_bidmc_26,profile,BIDMC,empirical,hard,Dot plot,Line chart,87.09951742738788,86.83506806150235,0.26444936588552537,90.59083690904066,87.87574252531142,Line chart,87.87574252531142,0.13797046973681457,0.10386440187550945,0.034106067861305114,1,True
profile_bidmc_26,profile,BIDMC,empirical,soft,Dot plot,Line chart,87.07110717115104,85.66304265411088,1.4080645170401596,90.97533928703236,89.17229867718905,Line chart,89.17229867718905,0.12142449486480228,0.09919897835713842,0.022225516507663856,1,True
profile_bidmc_27,profile,BIDMC,empirical,hard,Dot plot,Line chart,86.24030838348524,85.72165246784947,0.518655915635776,90.50280982605278,88.75659419019854,Line chart,88.75659419019854,0.12667685046260008,0.10493806979253897,0.021738780670061103,1,True
profile_bidmc_27,profile,BIDMC,empirical,soft,Dot plot,Line chart,87.19890443374356,85.62365833159255,1.575246102151013,90.94538842056748,88.60067375585804,Line chart,88.60067375585804,0.12865958870192298,0.0995609754016378,0.02909861330028518,1,True
profile_bidmc_28,profile,BIDMC,empirical,hard,Dot plot,Line chart,96.45762817114016,93.47573327481646,2.981894896323695,97.6587475788853,95.9656856508298,Line chart,95.9656856508298,0.04203913431983418,0.023973811657000098,0.01806532266283408,1,True
profile_bidmc_28,profile,BIDMC,empirical,soft,Dot plot,Line chart,96.67324570911579,94.01794540378165,2.655300305334137,97.68503514117964,96.04934882311605,Line chart,96.04934882311605,0.0411314727823867,0.0236982548603751,0.0174332179220116,1,True
