key,dataset,candidate,family,setting,H,observer,task,loss,successful,winner,score
WDBC__02,WDBC,Box plot / five,Box plot,five,256,threshold,median,0.0163699747815207,4,False,98.38936851858108
WDBC__02,WDBC,Box plot / five,Box plot,five,256,threshold,spread,0.0434691834497235,4,False,95.83416701334545
WDBC__02,WDBC,Box plot / five,Box plot,five,256,threshold,five,0.481371730955638,4,False,67.50500087880687
WDBC__02,WDBC,Box plot / five,Box plot,five,256,alpha,median,0.0163699747815207,4,False,98.38936851858108
WDBC__02,WDBC,Box plot / five,Box plot,five,256,alpha,spread,0.0280587058670243,4,True,97.27070976522097
WDBC__02,WDBC,Box plot / five,Box plot,five,256,alpha,five,0.2103573500336716,4,False,82.62022781719635
WDBC__02,WDBC,Interval plot / five,Interval plot,five,256,threshold,median,0.0121994373334885,4,False,98.79475952233025
WDBC__02,WDBC,Interval plot / five,Interval plot,five,256,threshold,spread,0.0280587058670248,4,True,97.27070976522093
WDBC__02,WDBC,Interval plot / five,Interval plot,five,256,threshold,five,0.4754992235635591,4,False,67.77367171938221
WDBC__02,WDBC,Interval plot / five,Interval plot,five,256,alpha,median,0.0121994373334885,4,False,98.79475952233025
WDBC__02,WDBC,Interval plot / five,Interval plot,five,256,alpha,spread,0.0280587058670248,4,True,97.27070976522093
WDBC__02,WDBC,Interval plot / five,Interval plot,five,256,alpha,five,0.2095232425440653,4,False,82.67720411032681
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,median,0.0251389981306605,4,False,97.54774736143085
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,spread,0.0331159509613647,4,False,96.79455622279873
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,five,0.0245238883959816,4,True,97.60631365712939
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,median,0.0196405934779795,4,False,98.0737728957038
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,spread,0.0746614128634549,4,False,93.05256409416263
WDBC__02,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,five,0.0262358654172115,4,True,97.44348582023633
WDBC__02,WDBC,Histogram / 16,Histogram,16,256,threshold,median,0.003733991179271,4,False,99.62798996426493
WDBC__02,WDBC,Histogram / 16,Histogram,16,256,threshold,spread,0.1715225598357934,4,False,85.35900496360608
WDBC__02,WDBC,Histogram / 16,Histogram,16,256,threshold,five,0.0501840439577722,4,False,95.22140483408545
WDBC__02,WDBC,Histogram / 16,Histogram,16,256,alpha,median,0.0070745267674752,4,False,99.29751705763195
WDBC__02,WDBC,Histogram / 16,Histogram,16,256,alpha,spread,0.1675260620486101,4,False,85.65119293742711
WDBC__02,WDBC,Histogram / 16,Histogram,16,256,alpha,five,0.0594507337860686,4,False,94.38853248290134
WDBC__02,WDBC,Heatmap / 16,Heatmap,16,256,threshold,median,0.0027840977323837,4,True,99.72236319476153
WDBC__02,WDBC,Heatmap / 16,Heatmap,16,256,threshold,spread,0.1651649641416491,4,False,85.8247570752076
WDBC__02,WDBC,Heatmap / 16,Heatmap,16,256,threshold,five,0.0610799688898605,4,False,94.2436036226596
WDBC__02,WDBC,Heatmap / 16,Heatmap,16,256,alpha,median,0.0027840977323837,4,True,99.72236319476153
WDBC__02,WDBC,Heatmap / 16,Heatmap,16,256,alpha,spread,0.1651649641416491,4,False,85.8247570752076
WDBC__02,WDBC,Heatmap / 16,Heatmap,16,256,alpha,five,0.0610799688898605,4,False,94.2436036226596
WDBC__02,WDBC,Violin plot / 64,Violin plot,64,256,threshold,median,0.0211214741323639,4,False,97.93154147988997
WDBC__02,WDBC,Violin plot / 64,Violin plot,64,256,threshold,spread,0.0505765612894692,4,False,95.18582812970888
WDBC__02,WDBC,Violin plot / 64,Violin plot,64,256,threshold,five,0.066170484030491,4,False,93.79363009747335
WDBC__02,WDBC,Violin plot / 64,Violin plot,64,256,alpha,median,0.0237218992524733,4,False,97.68277895883686
WDBC__02,WDBC,Violin plot / 64,Violin plot,64,256,alpha,spread,0.051832055358534,4,False,95.07221185221758
WDBC__02,WDBC,Violin plot / 64,Violin plot,64,256,alpha,five,0.0653637945753104,4,False,93.86465028114019
WDBC__02,WDBC,Bar chart / means,Bar chart,means,384,threshold,median,0.090799751663066,4,False,91.67585512147119
